,m2,m3,m4,k5,k6,alpha,beta,omega_1,omega_2,omega_3,D_1,D_2,D_3,EVnorm1_1,EVnorm1_2,EVnorm1_3,EVnorm2_1,EVnorm2_2,EVnorm2_3,EVnorm3_1,EVnorm3_2,EVnorm3_3,k5plusk6
0,1.0,1.0,1.0,1.0,1.0,0.6261,0.0001,22.5867757527256,62.1849953473564,85.8770985906773,0.0149892193960569,0.00814342261430057,0.00793918077759864,0.33641599198869704,0.600912435901503,0.72507139283879,0.755745274354182,0.22199005482458398,-0.6160921163675931,0.522512396095664,-0.7398913100728391,0.42372354808892204,2.0
1,1.0313542160058198,0.991005345515646,1.08121829838616,1.1690795803929999,1.0,0.6261,0.0001,23.1330507906193,63.5465179555855,88.79520594325399,0.0146892387268055,0.008103638388480829,0.00796528846691556,0.3347281025329831,0.598421373711937,0.727907244681207,0.7622954684292521,0.241961219038028,-0.600300247621021,0.5215999757299121,-0.7548787039465571,0.39760735361223204,2.169079580393
2,0.922090261921438,1.0145618357897,1.0699416394374899,1.12601436394868,1.0,0.6261,0.0001,22.9870157944946,64.552232604845,88.7390053250837,0.0147679089713432,0.00807717295747109,0.007964711279769129,0.33191174055563,0.5993223816989711,0.728455406511617,0.7439455157811551,0.28357687220416306,-0.6050861319680161,0.590316742959083,-0.7175019023365659,0.36975284059164204,2.1260143639486797
3,1.0845225965593701,1.1099353686304299,1.1437124403239598,0.910314502860771,1.0,0.6261,0.0001,21.070241008963198,58.28474504324701,80.36787074900559,0.0159109598141876,0.00828528258685758,0.007913606855282659,0.33428620221089195,0.5996654599504461,0.727086013587002,0.7540489248746899,0.24981590469006698,-0.6074555396563671,0.546571107097428,-0.736978747035853,0.397646012558603,1.9103145028607709
4,0.872859245100538,0.939718002370422,1.1701219637423899,0.9520645312117049,1.0,0.6261,0.0001,21.8494679490655,61.859743644937495,86.68882018957778,0.0154200540112096,0.00815362905293382,0.007945633249340459,0.32756170291317305,0.594726687517444,0.734168575968183,0.749831837791193,0.33628703886077893,-0.5697922801591221,0.6097224308223399,-0.7268438759763421,0.316127406764718,1.9520645312117049
5,1.0041096534797198,0.9657037137872142,0.915134483549443,1.08976827236447,1.0,0.6261,0.0001,23.6135546240137,64.3975843738965,89.0789128747642,0.0144378946253468,0.008081086557146509,0.00796824540656838,0.33950983274910906,0.60254109645287,0.722272317448236,0.758133029732932,0.181517211335425,-0.6263272397213578,0.485344704083317,-0.742553880317394,0.46157800320623904,2.08976827236447
6,1.09292853057831,0.987759031366889,0.9443554275286139,1.13613076643608,1.0,0.6261,0.0001,23.5530157708493,63.45320627710421,88.5985665981913,0.0144689426224342,0.00810621727519274,0.00796328113018364,0.341140853111456,0.602178974056291,0.721805653581974,0.763218668764136,0.16081582665736,-0.6258079046691639,0.454460737431128,-0.7545604764540258,0.473396161271962,2.13613076643608
7,0.8646709017072719,0.9491231898927841,1.04709598086954,0.8773307512035251,1.0,0.6261,0.0001,21.956760046715697,61.825710531806294,85.459001099411,0.0153554068333389,0.00815471307366006,0.00793611011155684,0.33091594199903196,0.598270403208827,0.7297719945128341,0.744939161302885,0.296477121989543,-0.5976344719761,0.596172784685807,-0.719519702567486,0.35618732208932796,1.877330751203525
8,0.9834983659090251,1.0978482864682901,1.12096739612745,1.07525144927314,1.0,0.6261,0.0001,22.178740535155395,62.285763515112706,85.1659454364774,0.0152238056924582,0.00814031637538795,0.007934062227540421,0.332165450424989,0.5999826482731629,0.7277959434588,0.741257039055148,0.281002826141358,-0.609569859615585,0.594374777510736,-0.711968471805239,0.373924483036851,2.07525144927314
9,0.940612134655211,1.0137991215915898,0.920364781682037,1.19098907935835,1.0,0.6261,0.0001,24.0504935692412,66.8316833678051,90.81654196994629,0.0142188900821111,0.00802573985909767,0.00798788632543245,0.337240167084236,0.603655470686369,0.72240510962715,0.7453496090344309,0.21218924663370697,-0.632004496760301,0.539287781423046,-0.715599793635751,0.44394326682165003,2.19098907935835
10,0.977062921684899,0.9135120189717421,1.0705773881971898,0.9884982791977499,1.0,0.6261,0.0001,22.488752457386,61.8219062216941,87.2425880455011,0.0150447301835874,0.00815483459305749,0.00795039990728298,0.33352568379172,0.596701154074231,0.729868721742305,0.766737726793168,0.25599759945993805,-0.588709170459229,0.521002495224544,-0.7643843337800601,0.37983284513245097,1.98849827919775
11,1.1008813841590002,0.9160145948913709,1.10370896426303,1.08062034691251,1.0,0.6261,0.0001,22.717483848537,61.175646120624506,87.8540324913613,0.0149160093969694,0.00817601473413832,0.00795599840669251,0.336111634006984,0.5959161792028989,0.729323574861922,0.777906657018165,0.221168410329695,-0.5881715457577479,0.4658178931516129,-0.7908913367132759,0.39686847182874,2.08062034691251
12,1.03560434644797,0.916170821018695,0.8349648443094592,0.889540603364636,1.0,0.6261,0.0001,22.9876637642876,61.6202752648622,86.21065072732559,0.0147675573056717,0.00816132225511815,0.00794175434453582,0.343730731947927,0.603724067823238,0.7192818876111821,0.761934790707674,0.12887032666523499,-0.634702933358944,0.42900921604174197,-0.749316178536939,0.504456496770581,1.889540603364636
13,1.14743453583586,0.880824218477152,0.813618677460451,1.1328767483528999,1.0,0.6261,0.0001,24.530890897740196,63.9641246340948,91.94921605915131,0.0139880057291239,0.00809235610087662,0.00800205750727236,0.348475778511682,0.6033484286977429,0.7173111635675571,0.7641871758896691,0.0764536840189015,-0.6404473392916159,0.36440097922580705,-0.7649112034790408,0.531152310671354,2.1328767483529
14,0.8478038461952729,1.10106398997427,1.09049699806377,0.9760575071834708,1.0,0.6261,0.0001,21.881730967023103,62.8484590278825,85.0502903691295,0.0154005418560307,0.00812345204220576,0.00793327803905845,0.32926695024318603,0.600898316533424,0.728357390753226,0.713518302137098,0.328304409115972,-0.6189570643190079,0.673017520595213,-0.660551997889411,0.332743858029236,1.9760575071834707
15,0.946559491259813,0.8815700454824731,1.1327245816204,1.0231503643257,1.0,0.6261,0.0001,22.520980184481303,62.346405315169,88.7376551879262,0.0150264213985307,0.00813846001411647,0.007964697377124309,0.330694029703331,0.5941916825857011,0.7331969060658579,0.76974465227151,0.289319607746095,-0.569023140894163,0.536989734414488,-0.7689375155978849,0.346954063587113,2.0231503643257
16,1.16848105925468,1.10213941689812,1.1234694504153102,1.04668863076184,1.0,0.6261,0.0001,21.839446558486,59.4416334425117,82.7105285118226,0.0154261269129812,0.00823859246362183,0.007920413347352709,0.33717285486427595,0.599992937422091,0.725481178933186,0.7629321536596451,0.210760460148157,-0.6111583733782859,0.49680492435777096,-0.755420771183015,0.427228657277492,2.0466886307618397
17,1.07133524037287,1.1947482890115801,0.805816697968252,0.8922411594421229,1.0,0.6261,0.0001,22.148365744872798,61.3586506504558,81.2380677526785,0.0152416443979546,0.00816990272733588,0.00791539236597719,0.34469828831710897,0.611476866837712,0.7122353061689579,0.7435859918483141,0.10431083023627401,-0.6604537254209251,0.463067780962854,-0.672920280802728,0.576841855206881,1.892241159442123
18,0.9323943562563192,0.8989566947937241,0.9865491818877751,0.8686253255224571,1.0,0.6261,0.0001,22.282972204471896,61.342701916588204,85.82060915167591,0.0151629927518154,0.008170431618469129,0.00793875556114462,0.334927293823354,0.5986658598460021,0.7276145243925609,0.761376844589067,0.24024130711587802,-0.6021539793764129,0.522335481264432,-0.753259599677744,0.39970691826084204,1.8686253255224572
19,1.178758187377,0.9449136991392181,0.8343071900845659,1.1870171029565801,1.0,0.6261,0.0001,24.4443698357854,64.0716217881179,91.137371754663,0.0140288488874922,0.008089519581521909,0.00799179316867239,0.34824184495394295,0.604356430002578,0.716575831951939,0.7625602491668599,0.0767124527508836,-0.642352758212744,0.372178372678879,-0.754741875481559,0.540229544087215,2.18701710295658
20,0.9030591102481429,0.819619940148298,0.838745265197771,0.976624722349254,1.0,0.6261,0.0001,24.015024007493896,65.2006699060213,91.57699574801201,0.0142363413798506,0.0080613646226787,0.00799728467008854,0.339469081056595,0.6010061451228411,0.723569178815111,0.7636515257235791,0.182652499988737,-0.619253107790275,0.471374282406289,-0.7577953792521129,0.451167872382444,1.976624722349254
21,1.04549647518664,0.8625482282662141,0.9817332754893041,1.0212275206241401,1.0,0.6261,0.0001,23.199597402739897,62.162695226314796,89.0893255273431,0.0146537487274199,0.00814411333047352,0.00796835519106141,0.338669899159904,0.597812633490553,0.726582930326683,0.7747346664941078,0.191469799715643,-0.602598964759412,0.448914637594523,-0.7857693562058571,0.42549050165804,2.02122752062414
22,1.14256668666741,0.8954646057058171,0.944602837476331,0.980285230847526,1.0,0.6261,0.0001,22.930398977125,60.450266036461294,86.9914726313006,0.0147987030906324,0.008201150582288229,0.0079482021381926,0.342996916722499,0.599751609128599,0.7229461407784921,0.772775242406636,0.140655051247382,-0.618897876294596,0.40646571994610103,-0.7851115844694341,0.467317256733146,1.9802852308475258
23,1.1557217626199199,0.912390212054756,0.9280476680477241,1.0869356543073199,1.0,0.6261,0.0001,23.548151959373698,62.013128082099,88.9590828098128,0.0144714450019924,0.008148781289527491,0.0079669877497858,0.34396304086587,0.600676957263609,0.7217178254212908,0.770631420877797,0.128959042640857,-0.6240967701222471,0.401285810793932,-0.779551034976552,0.480905273336073,2.08693565430732
24,1.0289890755789202,1.12221487918389,1.02732230186841,1.1433057889729599,1.0,0.6261,0.0001,22.8344157870539,63.5281954890463,86.13185478122291,0.0148512900392706,0.0081041430782896,0.007941136515882291,0.33620604530850606,0.603111514156992,0.723340857818273,0.743841307241019,0.22622082178273,-0.6289071866610509,0.5527969732336129,-0.713618816441906,0.430306508437659,2.1433057889729596
25,0.9880531999565509,1.11282545411291,1.1977473767901101,1.01922882414054,1.0,0.6261,0.0001,21.5158629239261,60.693373133987706,83.37588956758529,0.0156255233514663,0.00819256295106055,0.007923476971577621,0.330169234581795,0.5983524721635021,0.730042872433871,0.7403360183712808,0.307286441736817,-0.597894323962758,0.61225808951738,-0.709982920616051,0.34794293246742397,2.01922882414054
