m2,m3,m4,k,alpha,beta,Tem,omega_1,omega_2,omega_3,D_1,D_2,D_3,EVnorm1_1,EVnorm1_2,EVnorm1_3,EVnorm2_1,EVnorm2_2,EVnorm2_3,EVnorm3_1,EVnorm3_2,EVnorm3_3
1,1,1,2,1,1,20,22.6,62.2,85.9,0.015,0.0081,0.0079,0.336,0.601,0.725,0.756,0.222,-0.616,0.523,-0.74,0.424
1.19541473845206,1,1,2,1,1,20,22.4,59.5,84.3,0.0151,0.0082,0.0079,0.342,0.601,0.722,0.769,0.149,-0.622,0.426,-0.772,0.472
0.831354821225017,1,1,2,1,1,20,22.8,64.7,87.9,0.0149,0.0081,0.008,0.331,0.601,0.727,0.729,0.296,-0.617,0.627,-0.689,0.363
1.12930819638956,1,1,2,1,1,20,22.5,60.4,84.8,0.0151,0.0082,0.0079,0.34,0.601,0.723,0.766,0.172,-0.619,0.456,-0.764,0.458
0.969875760755357,1,1,2,1,1,20,22.6,62.6,86.2,0.015,0.0081,0.0079,0.336,0.601,0.725,0.752,0.234,-0.616,0.54,-0.733,0.414
0.993681582843844,1,1,2,1,1,20,22.6,62.3,85.9,0.015,0.0081,0.0079,0.336,0.601,0.725,0.755,0.225,-0.616,0.526,-0.738,0.422
0.827089791219329,1,1,2,1,1,20,22.8,64.7,88,0.0149,0.0081,0.008,0.331,0.601,0.727,0.728,0.298,-0.618,0.63,-0.688,0.362
1.09401057670987,1,1,2,1,1,20,22.5,60.9,85.1,0.015,0.0082,0.0079,0.339,0.601,0.724,0.764,0.185,-0.618,0.473,-0.758,0.449
1.03606999966698,1,1,2,1,1,20,22.6,61.7,85.5,0.015,0.0082,0.0079,0.337,0.601,0.725,0.759,0.208,-0.617,0.503,-0.748,0.434
0.829816070832162,1,1,2,1,1,20,22.8,64.7,88,0.0149,0.0081,0.008,0.331,0.601,0.727,0.729,0.296,-0.617,0.628,-0.689,0.363
0.822700785616351,1,1,2,1,1,20,22.8,64.8,88.1,0.0149,0.0081,0.008,0.331,0.601,0.727,0.727,0.3,-0.618,0.633,-0.686,0.36
1.13139921525498,1,1,2,1,1,20,22.5,60.4,84.8,0.0151,0.0082,0.0079,0.34,0.601,0.723,0.766,0.171,-0.619,0.455,-0.764,0.458
0.913520395838424,1,1,2,1,1,20,22.7,63.4,86.8,0.0149,0.0081,0.0079,0.334,0.601,0.726,0.744,0.259,-0.616,0.574,-0.717,0.395
0.872710046798912,1,1,2,1,1,20,22.7,64.1,87.4,0.0149,0.0081,0.008,0.333,0.601,0.727,0.737,0.277,-0.617,0.6,-0.704,0.38
