m2,m3,m4,k,alpha,beta,Tem,omega_1,omega_2,omega_3,D_1,D_2,D_3,EVnorm1_1,EVnorm1_2,EVnorm1_3,EVnorm2_1,EVnorm2_2,EVnorm2_3,EVnorm3_1,EVnorm3_2,EVnorm3_3
1,1,1,2,1,1,20,22.6,62.2,85.9,0.015,0.0081,0.0079,0.336,0.601,0.725,0.756,0.222,-0.616,0.523,-0.74,0.424
0.59754040499941,1,1,2,1,1,20,23,68.1,93,0.0148,0.008,0.008,0.324,0.601,0.731,0.661,0.41,-0.628,0.786,-0.567,0.248
0.778498218867048,1,1,2,1,1,20,22.8,65.5,88.8,0.0149,0.0081,0.008,0.33,0.601,0.728,0.717,0.32,-0.619,0.663,-0.667,0.34
1.04688151920498,1,1,2,1,1,20,22.5,61.5,85.4,0.015,0.0082,0.0079,0.338,0.601,0.724,0.76,0.203,-0.617,0.497,-0.75,0.437
1.4575068354343,1,1,2,1,1,20,22.1,56.3,83.1,0.0153,0.0084,0.0079,0.35,0.601,0.719,0.768,0.067,-0.637,0.333,-0.792,0.511
1.46488853519928,1,1,2,1,1,20,22.1,56.3,83,0.0153,0.0084,0.0079,0.35,0.601,0.719,0.768,0.064,-0.638,0.331,-0.793,0.512
0.657613081677548,1,1,2,1,1,20,22.9,67.3,91.3,0.0148,0.008,0.008,0.326,0.601,0.73,0.682,0.38,-0.625,0.746,-0.604,0.28
1.47059278176062,1,1,2,1,1,20,22.1,56.2,83,0.0153,0.0084,0.0079,0.35,0.601,0.719,0.767,0.063,-0.638,0.33,-0.793,0.513
1.45716694824295,1,1,2,1,1,20,22.1,56.3,83.1,0.0153,0.0084,0.0079,0.35,0.601,0.719,0.768,0.067,-0.637,0.334,-0.792,0.511
0.985375648722841,1,1,2,1,1,20,22.6,62.4,86,0.015,0.0081,0.0079,0.336,0.601,0.725,0.754,0.228,-0.616,0.531,-0.737,0.419
1.3002804688888,1,1,2,1,1,20,22.3,58.2,83.8,0.0152,0.0083,0.0079,0.345,0.601,0.721,0.771,0.114,-0.627,0.384,-0.782,0.49
0.641886338627215,1,1,2,1,1,20,22.9,67.5,91.7,0.0148,0.008,0.008,0.326,0.601,0.73,0.677,0.388,-0.626,0.756,-0.595,0.272
0.921761282626275,1,1,2,1,1,20,22.7,63.3,86.7,0.0149,0.0081,0.0079,0.334,0.601,0.726,0.745,0.255,-0.616,0.569,-0.72,0.398
1.41573552518907,1,1,2,1,1,20,22.2,56.8,83.2,0.0152,0.0084,0.0079,0.349,0.601,0.719,0.769,0.079,-0.634,0.346,-0.79,0.506
1.29220732955955,1,1,2,1,1,20,22.3,58.3,83.8,0.0152,0.0083,0.0079,0.345,0.601,0.721,0.771,0.116,-0.626,0.387,-0.782,0.489
1.4594924263929,1,1,2,1,1,20,22.1,56.3,83.1,0.0153,0.0084,0.0079,0.35,0.601,0.719,0.768,0.066,-0.637,0.333,-0.792,0.511
1.15574069915659,1,1,2,1,1,20,22.4,60,84.6,0.0151,0.0082,0.0079,0.341,0.601,0.723,0.768,0.162,-0.62,0.443,-0.767,0.463
0.53571167857419,1,1,2,1,1,20,23,69,95,0.0147,0.008,0.008,0.322,0.601,0.731,0.637,0.441,-0.632,0.824,-0.525,0.214
1.34912930586878,1,1,2,1,1,20,22.2,57.6,83.5,0.0152,0.0083,0.0079,0.347,0.601,0.72,0.77,0.098,-0.63,0.367,-0.786,0.497
