ID,m2,m3,m4,k,alpha,beta,Tem,omega_1,omega_2,omega_3,D_1,D_2,D_3,EVnorm1_1,EVnorm1_2,EVnorm1_3,EVnorm2_1,EVnorm2_2,EVnorm2_3,EVnorm3_1,EVnorm3_2,EVnorm3_3
1,1,1,1,2,1,1,20,22.6,61.8,85.4,0.0149,0.0082,0.008,0.338,0.605,0.729,0.755,0.222,-0.615,0.522,-0.739,0.423
2,1,1,1,2,1,1,20,22.6,62.2,85.6,0.015,0.0082,0.008,0.335,0.599,0.723,0.748,0.22,-0.609,0.518,-0.734,0.42
3,1,1,1,2,1,1,20,22.5,62.3,86.5,0.015,0.0082,0.0079,0.337,0.601,0.725,0.763,0.224,-0.622,0.528,-0.748,0.428
4,1,1,1,2,1,1,20,22.4,61.7,85.7,0.0151,0.0082,0.0079,0.335,0.598,0.722,0.755,0.222,-0.615,0.523,-0.74,0.424
5,1,1,1,2,1,1,20,22.6,61.8,85,0.0149,0.0082,0.008,0.335,0.599,0.723,0.756,0.222,-0.616,0.521,-0.738,0.423
6,1,1,1,2,1,1,20,22.6,62.3,85.9,0.015,0.0081,0.008,0.335,0.598,0.721,0.762,0.224,-0.621,0.523,-0.741,0.424
7,1,1,1,2,1,1,20,22.8,62.7,85.9,0.0148,0.0081,0.008,0.341,0.608,0.734,0.763,0.224,-0.622,0.529,-0.749,0.429
8,1,1,1,2,1,1,20,22.6,62,84.9,0.015,0.0081,0.008,0.336,0.6,0.724,0.755,0.222,-0.615,0.526,-0.745,0.427
9,1,1,1,2,1,1,20,22.6,61.4,86,0.0149,0.0082,0.0079,0.336,0.601,0.725,0.746,0.219,-0.609,0.519,-0.735,0.421
10,1,1,1,2,1,1,20,22.6,62.5,85.3,0.015,0.0082,0.0079,0.338,0.603,0.728,0.752,0.221,-0.613,0.522,-0.739,0.423
11,1,1,1,2,1,1,20,22.5,62.1,85.7,0.015,0.0082,0.008,0.338,0.603,0.728,0.759,0.223,-0.619,0.524,-0.742,0.425
12,1,1,1,2,1,1,20,22.7,62.1,85.6,0.015,0.0081,0.0079,0.338,0.604,0.729,0.755,0.222,-0.615,0.52,-0.736,0.422
13,1,1,1,2,1,1,20,22.5,62.6,86.5,0.0151,0.0081,0.0079,0.337,0.602,0.727,0.752,0.221,-0.613,0.52,-0.736,0.422
14,1,1,1,2,1,1,20,22.6,62.6,85.2,0.015,0.0081,0.008,0.337,0.602,0.726,0.758,0.223,-0.618,0.521,-0.738,0.422
15,1,1,1,2,1,1,20,22.8,61.9,86.4,0.015,0.0082,0.0079,0.336,0.6,0.724,0.754,0.221,-0.615,0.527,-0.746,0.427
16,1,1,1,2,1,1,20,22.9,62.4,87.2,0.0149,0.0081,0.0078,0.334,0.597,0.72,0.752,0.221,-0.613,0.517,-0.732,0.419
17,1,1,1,2,1,1,20,22.4,62.8,87.1,0.015,0.0081,0.0079,0.336,0.6,0.725,0.75,0.22,-0.612,0.521,-0.738,0.423
18,1,1,1,2,1,1,20,22.8,62.6,85.8,0.015,0.0081,0.0079,0.339,0.606,0.731,0.758,0.223,-0.618,0.518,-0.734,0.42
19,1,1,1,2,1,1,20,22.7,62.7,86.3,0.015,0.0082,0.0079,0.337,0.602,0.726,0.754,0.221,-0.614,0.519,-0.735,0.421
20,1,1,1,2,1,1,20,22.8,62.5,85.7,0.015,0.0081,0.008,0.335,0.599,0.722,0.75,0.22,-0.612,0.522,-0.74,0.424
21,1,1,1,2,1,1,20,22.7,62,86.2,0.015,0.0082,0.008,0.335,0.598,0.722,0.753,0.221,-0.614,0.527,-0.747,0.428
22,1,1,1,2,1,1,20,22.5,62.1,87,0.0149,0.0081,0.0079,0.336,0.599,0.723,0.753,0.221,-0.613,0.524,-0.741,0.425
23,1,1,1,2,1,1,20,22.8,62,85.7,0.0149,0.0082,0.0079,0.338,0.603,0.728,0.754,0.221,-0.615,0.52,-0.737,0.422
24,1,1,1,2,1,1,20,22.9,61.9,85.7,0.0148,0.0081,0.008,0.335,0.599,0.722,0.756,0.222,-0.616,0.522,-0.739,0.423
25,1,1,1,2,1,1,20,22.8,62,84.8,0.0149,0.0081,0.008,0.337,0.602,0.726,0.756,0.222,-0.616,0.528,-0.748,0.428
26,1,1,1,2,1,1,20,22.5,62.3,85.7,0.015,0.0081,0.0079,0.336,0.6,0.724,0.751,0.22,-0.612,0.522,-0.739,0.423
27,1,1,1,2,1,1,20,22.6,61.7,87.7,0.015,0.0081,0.0079,0.336,0.6,0.724,0.761,0.223,-0.62,0.521,-0.737,0.422
28,1,1,1,2,1,1,20,22.8,62,86.2,0.0149,0.0082,0.0079,0.339,0.605,0.73,0.756,0.222,-0.616,0.522,-0.74,0.424
29,1,1,1,2,1,1,20,22.7,61.9,86,0.015,0.0082,0.008,0.335,0.599,0.723,0.751,0.22,-0.612,0.519,-0.735,0.421
30,1,1,1,2,1,1,20,22.7,62,85.2,0.015,0.0081,0.0079,0.335,0.599,0.722,0.751,0.221,-0.612,0.521,-0.738,0.423
31,1,1,1,2,1,1,20,22.6,62.8,84.3,0.015,0.0081,0.008,0.337,0.602,0.726,0.757,0.222,-0.617,0.52,-0.736,0.422
32,1,1,1,2,1,1,20,22.4,62.7,86.5,0.015,0.008,0.0079,0.338,0.603,0.728,0.76,0.223,-0.619,0.525,-0.744,0.426
33,1,1,1,2,1,1,20,22.4,62.8,85.7,0.0151,0.0081,0.0079,0.34,0.608,0.733,0.749,0.22,-0.611,0.517,-0.731,0.419
34,1,1,1,2,1,1,20,22.6,61.5,86.4,0.015,0.0082,0.0079,0.337,0.602,0.726,0.76,0.223,-0.62,0.524,-0.742,0.425
